lambda,data_seed,best_val_loss,best_gap1,best_gap2
penalty,10,1,tensor(0.6357),0.024911534041166306,0.0869179368019104
penalty,10,5,tensor(0.8573),0.006407126784324646,0.006714671850204468
penalty,10,10,tensor(0.9358),0.0,1.1175870895385742e-08
penalty,10,25,tensor(0.9358),0.0,3.725290298461914e-09
penalty,10,100,tensor(0.9358),3.725290298461914e-09,1.4901161193847656e-08
penalty,11,0.01,tensor(0.5044),0.8126777410507202,0.2836289405822754
penalty,11,0.1,tensor(0.5228),0.04559805989265442,0.016970768570899963
penalty,11,1,tensor(0.9358),7.450580596923828e-09,7.450580596923828e-09
penalty,11,5,tensor(0.9358),7.450580596923828e-09,3.725290298461914e-09
penalty,11,10,tensor(0.9286),0.000532420352101326,0.0005997698754072189
penalty,11,25,tensor(0.9358),7.450580596923828e-09,1.1175870895385742e-08
penalty,11,100,tensor(0.9358),1.1175870895385742e-08,3.725290298461914e-09
penalty,12,0.01,tensor(0.5787),0.8766779899597168,0.14065515995025635
penalty,12,0.1,tensor(0.5464),0.20190656185150146,0.04193687438964844
penalty,12,1,tensor(0.6462),0.013368695974349976,0.011089108884334564
penalty,12,5,tensor(0.9358),1.1175870895385742e-08,3.725290298461914e-09
penalty,12,10,tensor(0.9358),3.725290298461914e-09,7.450580596923828e-09
penalty,12,25,tensor(0.9358),3.725290298461914e-09,3.725290298461914e-09
penalty,12,100,tensor(0.9358),4.470348358154297e-08,1.1548399925231934e-07
penalty,13,0.01,tensor(0.9358),3.725290298461914e-09,3.725290298461914e-09
penalty,13,0.1,tensor(0.3352),0.04525446891784668,0.024353861808776855
penalty,13,1,tensor(0.5383),0.07214873284101486,0.02910603955388069
penalty,13,5,tensor(0.8624),0.00957036018371582,0.001826852560043335
penalty,13,10,tensor(0.9358),7.450580596923828e-09,1.4901161193847656e-08
penalty,13,25,tensor(0.9358),7.450580596923828e-09,1.4901161193847656e-08
penalty,13,100,tensor(0.9358),7.450580596923828e-09,3.725290298461914e-09
penalty,14,0.01,tensor(0.5695),1.0371429920196533,0.27041739225387573
penalty,14,0.1,tensor(0.5551),0.06542527675628662,0.1859477162361145
penalty,14,1,tensor(0.6370),0.011658618226647377,0.020709510892629623
penalty,14,5,tensor(0.8662),0.009123280644416809,0.0010637491941452026
penalty,14,10,tensor(0.9358),7.450580596923828e-09,3.725290298461914e-09
penalty,14,25,tensor(0.9358),1.862645149230957e-08,1.1175870895385742e-08
penalty,14,100,tensor(0.9358),7.450580596923828e-09,3.725290298461914e-09
penalty,15,0.01,tensor(0.4918),0.8232080340385437,0.09968924522399902
penalty,15,0.1,tensor(0.3984),0.12254524230957031,0.12480604648590088
penalty,15,1,tensor(0.6125),0.014813527464866638,0.012812718749046326
penalty,15,5,tensor(0.9358),7.450580596923828e-09,3.725290298461914e-09
penalty,15,10,tensor(0.9352),1.5564262866973877e-05,0.00019531697034835815
penalty,15,25,tensor(0.9358),7.450580596923828e-08,1.4901161193847656e-07
penalty,15,100,tensor(0.9358),0.0,7.450580596923828e-09
penalty,16,0.01,tensor(0.4685),0.7846333384513855,0.0214841365814209
penalty,16,0.1,tensor(0.5445),0.13491427898406982,0.18197596073150635
penalty,16,1,tensor(0.6253),0.08654800057411194,0.04719437658786774
penalty,16,5,tensor(0.9358),1.1175870895385742e-08,1.4901161193847656e-08
penalty,16,10,tensor(0.9358),1.1175870895385742e-08,7.450580596923828e-09
penalty,16,25,tensor(0.9358),2.2351741790771484e-08,1.1175870895385742e-08
penalty,16,100,tensor(0.9358),3.725290298461914e-09,7.450580596923828e-09
penalty,17,0.01,tensor(0.8754),0.721149206161499,0.13367760181427002
penalty,17,0.1,tensor(0.4280),0.05123579502105713,0.06448221206665039
penalty,17,1,tensor(0.5964),0.007236063480377197,0.0038095787167549133
penalty,17,5,tensor(0.8339),0.01459723711013794,0.0036590993404388428
penalty,17,10,tensor(0.9358),1.1175870895385742e-08,1.4901161193847656e-08
penalty,17,25,tensor(0.9358),3.725290298461914e-09,1.4901161193847656e-08
penalty,17,100,tensor(0.9358),1.1548399925231934e-07,0.0
penalty,18,0.01,tensor(0.5089),0.8559282422065735,0.30770689249038696
penalty,18,0.1,tensor(0.4956),0.027710556983947754,0.2112330198287964
penalty,18,1,tensor(0.6052),0.021090596914291382,0.030769776552915573
penalty,18,5,tensor(0.9358),3.725290298461914e-09,3.725290298461914e-09
penalty,18,10,tensor(0.9358),7.450580596923828e-09,3.725290298461914e-09
penalty,18,25,tensor(0.9358),0.0,7.450580596923828e-09
penalty,18,100,tensor(0.9358),7.450580596923828e-09,1.862645149230957e-08
penalty,19,0.01,tensor(0.4842),0.7555322647094727,0.3645744323730469
penalty,19,0.1,tensor(0.4558),0.013602137565612793,0.008953094482421875
penalty,19,1,tensor(0.5620),0.005081687122583389,0.0016991235315799713
penalty,19,5,tensor(0.9358),7.450580596923828e-09,1.4901161193847656e-08
penalty,19,10,tensor(0.9352),2.176966518163681e-07,9.194482117891312e-07
penalty,19,25,tensor(0.9358),3.725290298461914e-09,3.725290298461914e-09
penalty,19,100,tensor(0.9358),1.1175870895385742e-08,3.725290298461914e-09
penalty,20,0.01,tensor(0.4460),0.7941251993179321,0.17277204990386963
penalty,20,0.1,tensor(0.5248),0.17937424778938293,0.09417220950126648
penalty,20,1,tensor(0.5419),0.040253713726997375,0.021827667951583862
penalty,20,5,tensor(0.9358),3.725290298461914e-09,3.725290298461914e-09
penalty,20,10,tensor(0.9358),7.450580596923828e-09,0.0
penalty,20,25,tensor(0.9358),1.1175870895385742e-08,1.4901161193847656e-08
penalty,20,100,tensor(0.9358),7.450580596923828e-09,7.450580596923828e-09
penalty,21,0.01,tensor(0.5594),0.38830482959747314,0.025989532470703125
penalty,21,0.1,tensor(0.5392),0.29897499084472656,0.08502912521362305
penalty,21,1,tensor(0.5976),0.015616022050380707,0.019275832921266556
penalty,21,5,tensor(0.8953),0.0017940700054168701,0.0052709877490997314
penalty,21,10,tensor(0.9358),0.0,1.1175870895385742e-08
penalty,21,25,tensor(0.9354),1.6577541828155518e-07,9.406358003616333e-07
penalty,21,100,tensor(0.9358),1.862645149230957e-08,3.725290298461914e-09
penalty,22,0.01,tensor(0.4487),0.5837990045547485,0.1911773681640625
penalty,22,0.1,tensor(0.4484),0.0644146203994751,0.17029976844787598
penalty,22,1,tensor(0.5248),0.07561440765857697,0.016488268971443176
penalty,22,5,tensor(0.9358),3.725290298461914e-09,3.725290298461914e-09
penalty,22,10,tensor(0.9358),0.0,2.2351741790771484e-08
penalty,22,25,tensor(0.9358),7.450580596923828e-09,7.450580596923828e-09
penalty,22,100,tensor(0.9358),1.1175870895385742e-08,7.450580596923828e-09
penalty,23,0.01,tensor(0.5439),0.6044489145278931,0.060333967208862305
penalty,23,0.1,tensor(0.4921),0.13891077041625977,0.39807653427124023
penalty,23,1,tensor(0.6522),0.019787445664405823,0.0173349529504776
penalty,23,5,tensor(0.9358),0.0,0.0
penalty,23,10,tensor(0.9358),1.1175870895385742e-08,1.1175870895385742e-08
penalty,23,25,tensor(0.9358),7.450580596923828e-09,3.725290298461914e-09
penalty,23,100,tensor(0.9358),7.450580596923828e-09,3.725290298461914e-09
penalty,24,0.01,tensor(0.4875),0.8435253500938416,0.391204833984375
penalty,24,0.1,tensor(0.5336),0.04599893093109131,0.07234126329421997
penalty,24,1,tensor(0.5849),0.04926324635744095,0.004559032618999481
penalty,24,5,tensor(0.9021),0.001643151044845581,0.006334200501441956
penalty,24,10,tensor(0.9302),0.00010203942656517029,4.6916306018829346e-05
penalty,24,25,tensor(0.9358),0.0,3.725290298461914e-09
penalty,24,100,tensor(0.9358),0.0,0.0
