lambda,data_seed,best_val_loss,best_gap1,best_gap2
penalty,14,10,tensor(0.9358),7.450580596923828e-09,3.725290298461914e-09
penalty,14,25,tensor(0.9358),7.450580596923828e-09,1.4901161193847656e-08
penalty,14,100,tensor(0.9358),1.4901161193847656e-08,0.0
penalty,15,0.01,tensor(0.6086),0.6536874771118164,0.0021292846649885178
penalty,15,0.1,tensor(0.5335),0.022932112216949463,0.004084587097167969
penalty,15,1,tensor(0.9358),3.725290298461914e-09,0.0
penalty,15,5,tensor(0.9358),3.725290298461914e-09,3.725290298461914e-09
penalty,15,10,tensor(0.9358),0.0,7.450580596923828e-09
penalty,15,25,tensor(0.9358),3.725290298461914e-09,1.1175870895385742e-08
penalty,15,100,tensor(0.9358),0.0,7.450580596923828e-09
penalty,16,0.01,tensor(0.5964),0.7244552969932556,0.0005079908296465874
penalty,16,0.1,tensor(0.6483),0.016337521374225616,0.006129596382379532
penalty,16,1,tensor(0.9358),7.450580596923828e-09,7.450580596923828e-09
penalty,16,5,tensor(0.9358),1.4901161193847656e-08,1.1175870895385742e-08
penalty,16,10,tensor(0.9358),7.450580596923828e-09,7.450580596923828e-09
penalty,16,25,tensor(0.9358),1.1175870895385742e-08,7.450580596923828e-09
penalty,16,100,tensor(0.9358),7.450580596923828e-09,0.0
penalty,17,0.01,tensor(0.5947),0.7511609196662903,0.04801422357559204
penalty,17,0.1,tensor(0.6111),0.0035211406648159027,0.006371535360813141
penalty,17,1,tensor(0.9358),1.4901161193847656e-08,1.4901161193847656e-08
penalty,17,5,tensor(0.9358),3.725290298461914e-09,7.450580596923828e-09
penalty,17,10,tensor(0.9358),1.862645149230957e-08,1.4901161193847656e-08
penalty,17,25,tensor(0.9358),0.0,3.725290298461914e-09
penalty,17,100,tensor(0.9358),1.862645149230957e-08,2.2351741790771484e-08
penalty,18,0.01,tensor(0.7445),0.4678964614868164,0.22397148609161377
penalty,18,0.1,tensor(0.6336),0.020363155752420425,0.010777033865451813
penalty,18,1,tensor(0.9358),1.1175870895385742e-08,0.0
penalty,18,5,tensor(0.9358),0.0,3.725290298461914e-09
penalty,18,10,tensor(0.9358),9.685754776000977e-07,1.7136335372924805e-07
penalty,18,25,tensor(0.9358),3.725290298461914e-09,3.725290298461914e-09
penalty,18,100,tensor(0.9358),7.450580596923828e-09,0.0
penalty,19,0.01,tensor(0.5189),0.8079932332038879,0.4572300910949707
penalty,19,0.1,tensor(0.6150),0.0021306630223989487,0.0022633131593465805
penalty,19,1,tensor(0.7271),0.005290498957037926,0.011286827735602856
penalty,19,5,tensor(0.9358),3.725290298461914e-09,7.450580596923828e-09
penalty,19,10,tensor(0.9358),1.4901161193847656e-08,1.862645149230957e-08
penalty,19,25,tensor(0.9358),0.0,1.4901161193847656e-08
penalty,19,100,tensor(0.9358),1.4901161193847656e-08,0.0
penalty,20,0.01,tensor(0.6774),0.37664878368377686,0.43213415145874023
penalty,20,0.1,tensor(0.6142),0.024078475311398506,0.009522777050733566
penalty,20,1,tensor(0.9358),3.725290298461914e-09,7.450580596923828e-09
penalty,20,5,tensor(0.9358),7.450580596923828e-09,1.1175870895385742e-08
penalty,20,10,tensor(0.9358),0.0,3.725290298461914e-09
penalty,20,25,tensor(0.9358),7.450580596923828e-09,0.0
penalty,20,100,tensor(0.9358),3.725290298461914e-09,7.450580596923828e-09
penalty,21,0.01,tensor(0.7236),0.0442967414855957,0.11302268505096436
penalty,21,0.1,tensor(0.7036),0.007173115387558937,0.008468793705105782
penalty,21,1,tensor(0.9358),7.450580596923828e-09,1.862645149230957e-08
penalty,21,5,tensor(0.9358),7.450580596923828e-09,7.450580596923828e-09
penalty,21,10,tensor(0.9358),3.725290298461914e-09,0.0
penalty,21,25,tensor(0.9358),2.60770320892334e-08,1.4901161193847656e-08
penalty,21,100,tensor(0.9358),0.0,3.725290298461914e-09
penalty,22,0.01,tensor(0.6645),0.25781309604644775,0.25677597522735596
penalty,22,0.1,tensor(0.5835),0.030739787966012955,0.0075012315064668655
penalty,22,1,tensor(0.9358),1.862645149230957e-08,2.2351741790771484e-08
penalty,22,5,tensor(0.9358),7.450580596923828e-09,7.450580596923828e-09
penalty,22,10,tensor(0.9357),2.1789222955703735e-05,7.659196853637695e-06
penalty,22,25,tensor(0.9358),0.0,7.450580596923828e-09
penalty,22,100,tensor(0.9358),7.450580596923828e-09,1.4901161193847656e-08
penalty,23,0.01,tensor(0.6055),1.1441938877105713,0.015862643718719482
penalty,23,0.1,tensor(0.6575),0.009819183498620987,0.003577045863494277
penalty,23,1,tensor(0.9358),0.0,0.0
penalty,23,5,tensor(0.9276),0.0011626128107309341,0.0006202273070812225
penalty,23,10,tensor(0.9358),0.0,0.0
penalty,23,25,tensor(0.9358),7.450580596923828e-09,7.450580596923828e-09
penalty,23,100,tensor(0.9358),3.725290298461914e-09,3.725290298461914e-09
penalty,24,0.01,tensor(0.5962),0.7763040065765381,0.12316691875457764
penalty,24,0.1,tensor(0.6602),0.003547266125679016,0.01528053916990757
penalty,24,1,tensor(0.7336),0.003192126750946045,0.012925751507282257
penalty,24,5,tensor(0.9358),3.725290298461914e-09,7.450580596923828e-09
penalty,24,10,tensor(0.9358),1.1175870895385742e-08,1.1175870895385742e-08
penalty,24,25,tensor(0.9358),3.725290298461914e-09,0.0
penalty,24,100,tensor(0.9358),1.1175870895385742e-08,2.60770320892334e-08
